x,y,u,v,p
0.41,0.02,-0.0122336,0.000304067,-0.0197087
0.42,0.02,-0.0124954,0.000279568,-0.0194614
0.43,0.02,-0.0127342,0.000253572,-0.0192029
0.44,0.02,-0.0129487,0.000226119,-0.0189338
0.45,0.02,-0.0131376,0.000197258,-0.0186548
0.46,0.02,-0.0132998,0.000167055,-0.0183668
0.47,0.02,-0.013434,0.000135584,-0.0180706
0.48,0.02,-0.0135392,0.000102938,-0.0177672
0.49,0.02,-0.0136145,6.92207e-05,-0.0174576
0.5,0.02,-0.0136589,3.4553e-05,-0.0171429
0.51,0.02,-0.0136718,-9.307e-07,-0.0168243
0.52,0.02,-0.0136524,-3.70808e-05,-0.0165032
0.53,0.02,-0.0136004,-7.37334e-05,-0.0161809
0.54,0.02,-0.0135152,-0.000110711,-0.0158587
0.55,0.02,-0.0133969,-0.000147822,-0.0155381
0.56,0.02,-0.0132454,-0.000184865,-0.0152207
0.57,0.02,-0.0130609,-0.000221625,-0.0149079
0.58,0.02,-0.0128437,-0.000257879,-0.0146015
0.59,0.02,-0.0125945,-0.000293396,-0.0143028
0.6,0.02,-0.012314,-0.00032794,-0.0140136
0.61,0.02,-0.0120032,-0.00036127,-0.0137353
0.62,0.02,-0.0116634,-0.000393144,-0.0134695
0.63,0.02,-0.011296,-0.000423319,-0.0132177
0.64,0.02,-0.0109025,-0.000451558,-0.0129814
0.65,0.02,-0.0104849,-0.000477627,-0.0127617
0.66,0.02,-0.0100451,-0.000501303,-0.0125601
0.67,0.02,-0.00958546,-0.000522372,-0.0123776
0.68,0.02,-0.00910826,-0.000540633,-0.0122153
0.69,0.02,-0.00861612,-0.000555905,-0.012074
0.7,0.02,-0.00811176,-0.00056802,-0.0119544
0.71,0.02,-0.00759804,-0.000576835,-0.0118572
0.72,0.02,-0.00707791,-0.00058223,-0.0117825
0.73,0.02,-0.00655445,-0.000584107,-0.0117308
0.74,0.02,-0.00603078,-0.000582399,-0.0117019
0.75,0.02,-0.00551008,-0.000577063,-0.0116956
0.76,0.02,-0.00499555,-0.000568088,-0.0117115
0.77,0.02,-0.00449039,-0.000555494,-0.0117489
0.78,0.02,-0.00399776,-0.000539331,-0.0118071
0.79,0.02,-0.00352075,-0.000519682,-0.011885
0.8,0.02,-0.00306237,-0.000496661,-0.0119812
0.81,0.02,-0.00262551,-0.000470417,-0.0120944
0.82,0.02,-0.00221291,-0.00044113,-0.0122228
0.83,0.02,-0.00182713,-0.000409018,-0.0123645
0.84,0.02,-0.00147052,-0.000374331,-0.0125176
0.85,0.02,-0.00114518,-0.000337361,-0.0126796
0.86,0.02,-0.000852931,-0.000298439,-0.0128483
0.87,0.02,-0.000595265,-0.000257948,-0.013021
0.88,0.02,-0.000373307,-0.000216326,-0.0131949
0.89,0.02,-0.000187758,-0.000174082,-0.0133672
0.9,0.02,-3.88224e-05,-0.000131817,-0.0135347
0.91,0.02,7.38713e-05,-9.02557e-05,-0.0136945
0.92,0.02,0.000151382,-5.0284e-05,-0.0138432
0.93,0.02,0.000195595,-1.30155e-05,-0.0139776
0.94,0.02,0.000209396,2.01262e-05,-0.0140945
0.95,0.02,0.000196893,4.72982e-05,-0.014191
0.96,0.02,0.000163717,6.61166e-05,-0.0142643
0.97,0.02,0.000117178,7.36021e-05,-0.0143129
0.98,0.02,6.63507e-05,6.63267e-05,-0.014336
0.99,0.02,2.68863e-05,4.11178e-05,-0.014325
1,0.02,0,0,-0.014325
0,0.03,0,0,-0.0199474
0.01,0.03,1.65786e-05,-5.70468e-05,-0.0199474
0.02,0.03,3.18296e-05,-6.21599e-05,-0.0199616
0.03,0.03,3.23491e-05,-3.19648e-05,-0.0200043
0.04,0.03,3.96057e-06,2.20321e-05,-0.0200682
0.05,0.03,-6.16912e-05,9.09987e-05,-0.0201502
0.06,0.03,-0.000170018,0.00016839,-0.0202468
0.07,0.03,-0.000324046,0.000249527,-0.0203544
0.08,0.03,-0.000524932,0.00033112,-0.0204697
0.09,0.03,-0.00077244,0.000410891,-0.0205896
0.1,0.03,-0.00106531,0.000487302,-0.0207114
0.11,0.03,-0.00140155,0.000559343,-0.0208325
0.12,0.03,-0.00177867,0.000626385,-0.0209508
0.13,0.03,-0.00219384,0.000688075,-0.0210645
0.14,0.03,-0.00264404,0.000744254,-0.0211718
0.15,0.03,-0.00312614,0.000794902,-0.0212715
0.16,0.03,-0.003637,0.000840095,-0.0213623
0.17,0.03,-0.00417348,0.000879973,-0.0214434
0.18,0.03,-0.00473251,0.000914719,-0.021514
0.19,0.03,-0.00531112,0.000944537,-0.0215734
0.2,0.03,-0.0059064,0.000969641,-0.021621
0.21,0.03,-0.00651558,0.000990243,-0.0216565
0.22,0.03,-0.00713597,0.00100655,-0.0216795
0.23,0.03,-0.00776501,0.00101874,-0.0216897
0.24,0.03,-0.0084002,0.001027,-0.0216868
0.25,0.03,-0.00903916,0.00103148,-0.0216708
0.26,0.03,-0.00967957,0.0010323,-0.0216415
0.27,0.03,-0.0103192,0.00102958,-0.0215987
0.28,0.03,-0.0109558,0.0010234,-0.0215424
0.29,0.03,-0.0115872,0.00101382,-0.0214725
0.3,0.03,-0.0122114,0.0010009,-0.0213891
0.31,0.03,-0.0128263,0.000984675,-0.021292
0.32,0.03,-0.0134297,0.000965154,-0.0211814
0.33,0.03,-0.0140197,0.000942349,-0.0210573
0.34,0.03,-0.0145941,0.000916259,-0.0209197
0.35,0.03,-0.0151509,0.000886878,-0.0207688
0.36,0.03,-0.0156881,0.0008542,-0.0206047
0.37,0.03,-0.0162036,0.00081822,-0.0204277
0.38,0.03,-0.0166954,0.000778935,-0.0202379
0.39,0.03,-0.0171614,0.000736354,-0.0200356
0.4,0.03,-0.0175997,0.000690495,-0.0198213
0.41,0.03,-0.0180083,0.00064139,-0.0195952
0.42,0.03,-0.0183851,0.000589087,-0.019358
0.43,0.03,-0.0187284,0.000533656,-0.01911
0.44,0.03,-0.0190362,0.000475185,-0.018852
0.45,0.03,-0.0193067,0.000413791,-0.0185845
0.46,0.03,-0.0195382,0.000349612,-0.0183085
0.47,0.03,-0.0197292,0.000282816,-0.0180246
0.48,0.03,-0.0198782,0.000213599,-0.0177339
0.49,0.03,-0.0199837,0.000142189,-0.0174374
0.5,0.03,-0.0200446,6.8839e-05,-0.017136
0.51,0.03,-0.0200599,-6.16298e-06,-0.016831
0.52,0.03,-0.0200287,-8.25011e-05,-0.0165235
0.53,0.03,-0.0199503,-0.00015983,-0.016215
0.54,0.03,-0.0198244,-0.000237777,-0.0159066
0.55,0.03,-0.0196507,-0.000315941,-0.0155998
0.56,0.03,-0.0194293,-0.000393899,-0.015296
0.57,0.03,-0.0191606,-0.000471206,-0.0149968
0.58,0.03,-0.018845,-0.000547397,-0.0147035
0.59,0.03,-0.0184835,-0.000621991,-0.0144177
0.6,0.03,-0.0180772,-0.000694499,-0.0141409
0.61,0.03,-0.0176277,-0.000764422,-0.0138747
0.62,0.03,-0.0171365,-0.000831258,-0.0136203
0.63,0.03,-0.0166059,-0.000894509,-0.0133793
0.64,0.03,-0.0160381,-0.000953682,-0.0131529
